Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF/50V","CP_Elec_8x10.5",161.000000,-75.000000,0.000000,top
"C2","10uF/50V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",154.500000,-88.487500,270.000000,top
"C3","0.1uF/50V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",163.000000,-84.987500,270.000000,top
"C4","22uF/25V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",149.512500,-87.000000,0.000000,top
"C5","22uF/25V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",149.487500,-89.500000,0.000000,top
"C6","1uF/50V","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",144.012500,-88.000000,0.000000,top
"D1","B330","D_SMC",160.500000,-101.600000,90.000000,top
"J1","POWER_JACK1","POWER_JACK_SMD_OVERPASTE_REDBOARD_0603",146.000000,-72.000000,270.000000,top
"L1","6.8uH","L_Vishay_IHLP-2020",161.000000,-92.573500,270.000000,top
"M1","USB+SHIELDUSB-A-S-NOSILK-FEMALE","USB-A-S-NOSILK-FEMALE",148.500000,-97.500000,90.000000,top
"R4","100k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",154.500000,-82.987500,90.000000,top
"U1","ADP2303ARDZ-5.0","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",158.500000,-84.500000,270.000000,top
